,vector,neighbors,degree,visited,option
1st Stage,,,,,
,3,"['1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4']",64,False,
,2,"['1', '4', '4', '1', '4', '1', '1', '4', '4', '1', '1', '4', '1', '4', '4', '1', '4', '1', '1', '4', '1', '4', '4', '1', '1', '4', '4', '1', '4', '1', '1', '4', '4', '1', '1', '4', '1', '4', '4', '1', '1', '4', '4', '1', '4', '1', '1', '4', '1', '4', '4', '1', '4', '1', '1', '4', '4', '1', '1', '4', '1', '4', '4', '1']",64,False,
,4,"['5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2']",128,False,X
,6,"['4', '8', '8', '4', '8', '4', '4', '8', '8', '4', '4', '8', '4', '8', '8', '4', '8', '4', '4', '8', '4', '8', '8', '4', '4', '8', '8', '4', '8', '4', '4', '8', '8', '4', '4', '8', '4', '8', '8', '4', '4', '8', '8', '4', '8', '4', '4', '8', '4', '8', '8', '4', '8', '4', '4', '8', '8', '4', '4', '8', '4', '8', '8', '4']",64,False,
,1,"['7', '5', '3', '2', '3', '2', '7', '5', '3', '2', '7', '5', '7', '5', '3', '2', '3', '2', '7', '5', '7', '5', '3', '2', '7', '5', '3', '2', '3', '2', '7', '5', '3', '2', '7', '5', '7', '5', '3', '2', '7', '5', '3', '2', '3', '2', '7', '5', '7', '5', '3', '2', '3', '2', '7', '5', '3', '2', '7', '5', '7', '5', '3', '2', '3', '2', '7', '5', '7', '5', '3', '2', '7', '5', '3', '2', '3', '2', '7', '5', '7', '5', '3', '2', '3', '2', '7', '5', '3', '2', '7', '5', '7', '5', '3', '2', '7', '5', '3', '2', '3', '2', '7', '5', '3', '2', '7', '5', '7', '5', '3', '2', '3', '2', '7', '5', '7', '5', '3', '2', '7', '5', '3', '2', '3', '2', '7', '5']",128,False,
,8,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']",32,False,
,5,"['4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1', '4', '1']",64,False,
,7,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
2nd Stage,,,,,
,3,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,2,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,4,"['5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2', '3', '6', '5', '2', '5', '2', '3', '6', '3', '6', '5', '2', '5', '2', '3', '6', '5', '2', '3', '6', '3', '6', '5', '2']",128,True,
,6,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']",32,False,
