,vector,neighbors,degree,visited,option
1st Stage,,,,,
,8,"['2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4']",64,False,X
,1,"['5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5', '6', '5', '5', '6', '5', '6', '6', '5', '5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5', '5', '6', '6', '5', '6', '5', '5', '6', '5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5']",64,False,
,6,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,2,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']",32,False,
,4,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']",32,False,
,5,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
2nd Stage,,,,,
,8,"['2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4', '2', '4']",64,True,
,1,"['5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5', '6', '5', '5', '6', '5', '6', '6', '5', '5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5', '5', '6', '6', '5', '6', '5', '5', '6', '5', '6', '6', '5', '6', '5', '5', '6', '6', '5', '5', '6', '5', '6', '6', '5']",64,False,X
,6,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,2,[],0,True,
,4,[],0,True,
,5,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
