,vector,neighbors,degree,visited,option
1st Stage,,,,,
,2,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']",32,False,
,7,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,
,5,"['1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3']",96,False,X
,8,"['6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4']",64,False,
,4,"['2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8', '2', '8']",64,False,
,1,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,
,6,"['8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']",32,False,
,3,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,
2nd Stage,,,,,
,2,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']",32,False,
,7,[],0,True,
,5,"['1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3', '7', '1', '3', '1', '3', '7', '7', '1', '3', '1', '3', '7', '1', '3', '7', '7', '1', '3']",96,True,
,8,"['6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4', '6', '4']",64,False,X
