,vector,neighbors,degree,visited,option
1st Stage,,,,,
,5,"['7', '1', '1', '7', '1', '7', '7', '1', '1', '7', '7', '1', '7', '1', '1', '7', '1', '7', '7', '1', '7', '1', '1', '7', '7', '1', '1', '7', '1', '7', '7', '1', '1', '7', '7', '1', '7', '1', '1', '7', '7', '1', '1', '7', '1', '7', '7', '1', '7', '1', '1', '7', '1', '7', '7', '1', '1', '7', '7', '1', '7', '1', '1', '7']",64,False,
,2,"['3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8', '3', '8']",64,False,
,1,"['5', '6', '7', '6', '7', '5', '6', '7', '5', '5', '6', '7', '6', '7', '5', '5', '6', '7', '5', '6', '7', '6', '7', '5', '6', '7', '5', '5', '6', '7', '5', '6', '7', '6', '7', '5', '5', '6', '7', '6', '7', '5', '6', '7', '5', '5', '6', '7', '6', '7', '5', '5', '6', '7', '5', '6', '7', '6', '7', '5', '5', '6', '7', '6', '7', '5', '6', '7', '5', '5', '6', '7', '5', '6', '7', '6', '7', '5', '6', '7', '5', '5', '6', '7', '6', '7', '5', '5', '6', '7', '5', '6', '7', '6', '7', '5']",96,False,X
,6,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,3,"['7', '4', '2', '2', '7', '4', '2', '7', '4', '7', '4', '2', '2', '7', '4', '7', '4', '2', '7', '4', '2', '2', '7', '4', '2', '7', '4', '7', '4', '2', '7', '4', '2', '2', '7', '4', '7', '4', '2', '2', '7', '4', '2', '7', '4', '7', '4', '2', '2', '7', '4', '7', '4', '2', '7', '4', '2', '2', '7', '4', '7', '4', '2', '2', '7', '4', '2', '7', '4', '7', '4', '2', '7', '4', '2', '2', '7', '4', '2', '7', '4', '7', '4', '2', '2', '7', '4', '7', '4', '2', '7', '4', '2', '2', '7', '4']",96,False,
,7,"['1', '5', '3', '5', '3', '1', '5', '3', '1', '1', '5', '3', '5', '3', '1', '1', '5', '3', '1', '5', '3', '5', '3', '1', '5', '3', '1', '1', '5', '3', '1', '5', '3', '5', '3', '1', '1', '5', '3', '5', '3', '1', '5', '3', '1', '1', '5', '3', '5', '3', '1', '1', '5', '3', '1', '5', '3', '5', '3', '1', '1', '5', '3', '5', '3', '1', '5', '3', '1', '1', '5', '3', '1', '5', '3', '5', '3', '1', '5', '3', '1', '1', '5', '3', '5', '3', '1', '1', '5', '3', '1', '5', '3', '5', '3', '1']",96,False,
,4,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']",32,False,
,8,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
2nd Stage,,,,,
