,vector,neighbors,degree,visited,option
1st Stage,,,,,
,3,"['7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5']",64,False,
,1,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
,7,"['6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4']",128,False,X
,5,"['4', '7', '3', '3', '4', '7', '3', '4', '7', '4', '7', '3', '3', '4', '7', '4', '7', '3', '4', '7', '3', '3', '4', '7', '3', '4', '7', '4', '7', '3', '4', '7', '3', '3', '4', '7', '4', '7', '3', '3', '4', '7', '3', '4', '7', '4', '7', '3', '3', '4', '7', '4', '7', '3', '4', '7', '3', '3', '4', '7', '4', '7', '3', '3', '4', '7', '3', '4', '7', '4', '7', '3', '4', '7', '3', '3', '4', '7', '3', '4', '7', '4', '7', '3', '3', '4', '7', '4', '7', '3', '4', '7', '3', '3', '4', '7']",96,False,
,2,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,6,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']",32,False,
,4,"['7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5', '7', '5']",64,False,
2nd Stage,,,,,
,3,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,
,1,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,
,7,"['6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4']",128,True,
,5,"['4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4', '3', '4', '4', '3', '4', '3', '3', '4', '4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4', '4', '3', '3', '4', '3', '4', '4', '3', '4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4']",64,False,X
,2,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,6,[],0,True,
,4,"['5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']",32,False,
3rd Stage,,,,,
,3,[],0,True,
,1,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']",32,False,X
,7,"['6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4', '3', '5', '6', '4', '6', '4', '3', '5', '3', '5', '6', '4', '6', '4', '3', '5', '6', '4', '3', '5', '3', '5', '6', '4']",128,True,
,5,"['4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4', '3', '4', '4', '3', '4', '3', '3', '4', '4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4', '4', '3', '3', '4', '3', '4', '4', '3', '4', '3', '3', '4', '3', '4', '4', '3', '3', '4', '4', '3', '4', '3', '3', '4']",64,True,
,2,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']",32,False,
,6,[],0,True,
,4,[],0,True,
