,vector,neighbors,degree,visited,option
1st Stage,,,,,
,8,"['4', '7']",2,False,
,7,"['2', '8', '6']",3,False,X
,4,"['1', '5', '8']",3,False,
,6,['7'],1,False,
,5,"['3', '4']",2,False,
,2,['7'],1,False,
,1,['4'],1,False,
,3,['5'],1,False,
2nd Stage,,,,,
,8,['4'],1,False,
,7,"['2', '8', '6']",3,True,
,4,"['1', '5', '8']",3,False,X
,6,[],0,True,
,5,"['3', '4']",2,False,
,2,[],0,True,
,1,['4'],1,False,
,3,['5'],1,False,
3rd Stage,,,,,
,8,[],0,True,
,7,"['2', '8', '6']",3,True,
,4,"['1', '5', '8']",3,True,
,6,[],0,True,
,5,['3'],1,False,X
,2,[],0,True,
,1,[],0,True,
,3,['5'],1,False,
