,vector,neighbors,degree,visited,option
1st Stage,,,,,
,1,"['3', '8']",2,False,
,7,"['2', '4', '6']",3,False,X
,6,"['4', '7', '5']",3,False,
,8,"['3', '1']",2,False,
,5,['6'],1,False,
,3,"['1', '8']",2,False,
,2,['7'],1,False,
,4,"['6', '7']",2,False,
2nd Stage,,,,,
,1,"['3', '8']",2,False,X
,7,"['2', '4', '6']",3,True,
,6,"['4', '5']",2,False,
,8,"['3', '1']",2,False,
,5,['6'],1,False,
,3,"['1', '8']",2,False,
,2,[],0,True,
,4,['6'],1,False,
3rd Stage,,,,,
,1,"['3', '8']",2,True,
,7,"['2', '4', '6']",3,True,
,6,"['4', '5']",2,False,X
,8,['3'],1,False,
,5,['6'],1,False,
,3,['8'],1,False,
,2,[],0,True,
,4,['6'],1,False,
4th Stage,,,,,
,1,"['3', '8']",2,True,
,7,"['2', '4', '6']",3,True,
,6,"['4', '5']",2,True,
,8,['3'],1,False,X
,5,[],0,True,
,3,['8'],1,False,
,2,[],0,True,
,4,[],0,True,
