,vector,neighbors,degree,visited,option
1st Stage,,,,,
,4,['6'],1,False,
,1,"['7', '5']",2,False,
,3,['2'],1,False,
,6,"['8', '2', '4']",3,False,X
,7,['1'],1,False,
,2,"['3', '6']",2,False,
,8,['6'],1,False,
,5,['1'],1,False,
2nd Stage,,,,,
,4,[],0,True,
,1,"['7', '5']",2,False,X
,3,['2'],1,False,
,6,"['8', '2', '4']",3,True,
,7,['1'],1,False,
,2,['3'],1,False,
,8,[],0,True,
,5,['1'],1,False,
3rd Stage,,,,,
,4,[],0,True,
,1,"['7', '5']",2,True,
,3,['2'],1,False,X
,6,"['8', '2', '4']",3,True,
,7,[],0,True,
,2,['3'],1,False,
,8,[],0,True,
,5,[],0,True,
